"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 15 16:17:32 CET 2021","Mon Feb 15 16:17:40 CET 2021","8593","","Add the product quantity as five to the cart and check the total price","","Add the product quantity as five to the cart and check the total price","Add the product quantity as five to the cart and check the total price Add quantity as 5 for the product","Add the product quantity as five to the cart and check the total price Add quantity as 5 for the product","tests/checkTotalPrice.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/checkTotalPrice.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:47 CET 2021","Mon Feb 15 16:17:49 CET 2021","1158","","Toggle between the colours of the Product","","Toggle between the colours of the Product","Toggle between the colours of the Product Check when selecting orange colour the image is updated","Toggle between the colours of the Product Check when selecting orange colour the image is updated","tests/toggleProductColour.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/toggleProductColour.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:33 CET 2021","Mon Feb 15 16:17:33 CET 2021","7","","Toggle between the colours of the Product","","Toggle between the colours of the Product","Toggle between the colours of the Product Check the title and url on the Landing Page","Toggle between the colours of the Product Check the title and url on the Landing Page","tests/toggleProductColour.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/toggleProductColour.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:31 CET 2021","Mon Feb 15 16:17:31 CET 2021","4","","Check Product Names Visible and Print it to Test Report","","Check Product Names Visible and Print it to Test Report","Check Product Names Visible and Print it to Test Report Check the product name: Printed Dress Two is visible","Check Product Names Visible and Print it to Test Report Check the product name: Printed Dress Two is visible","tests/productNames.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/productNames.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:31 CET 2021","Mon Feb 15 16:17:31 CET 2021","4","","Check Product Names Visible and Print it to Test Report","","Check Product Names Visible and Print it to Test Report","Check Product Names Visible and Print it to Test Report Check the product name: Printed Summer Dress Two is visible","Check Product Names Visible and Print it to Test Report Check the product name: Printed Summer Dress Two is visible","tests/productNames.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/productNames.test.js'>Открыть в WebStorm</a>"
"failed","Mon Feb 15 16:18:26 CET 2021","Mon Feb 15 16:18:31 CET 2021","4464","","Add to Cart","","Add to Cart","Add to Cart Verify whether the product added to Cart message is displayed","Add to Cart Verify whether the product added to Cart message is displayed","tests/addToCart.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/addToCart.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:18:18 CET 2021","Mon Feb 15 16:18:22 CET 2021","4593","","Add to Cart","","Add to Cart","Add to Cart click on 20% discuont listed Item","Add to Cart click on 20% discuont listed Item","tests/addToCart.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/addToCart.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:31 CET 2021","Mon Feb 15 16:17:31 CET 2021","4","","Check Product Names Visible and Print it to Test Report","","Check Product Names Visible and Print it to Test Report","Check Product Names Visible and Print it to Test Report Check the product name: Faded Short Sleeve T-shirts is visible","Check Product Names Visible and Print it to Test Report Check the product name: Faded Short Sleeve T-shirts is visible","tests/productNames.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/productNames.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:31 CET 2021","Mon Feb 15 16:17:31 CET 2021","3","","Check Product Names Visible and Print it to Test Report","","Check Product Names Visible and Print it to Test Report","Check Product Names Visible and Print it to Test Report Check the product name: Printed Chiffon Dress is visible","Check Product Names Visible and Print it to Test Report Check the product name: Printed Chiffon Dress is visible","tests/productNames.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/productNames.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:49 CET 2021","Mon Feb 15 16:17:49 CET 2021","221","","Toggle between the colours of the Product","","Toggle between the colours of the Product","Toggle between the colours of the Product Check when selecting blue colour the image is updated","Toggle between the colours of the Product Check when selecting blue colour the image is updated","tests/toggleProductColour.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/toggleProductColour.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:31 CET 2021","Mon Feb 15 16:17:31 CET 2021","3","","Check Product Names Visible and Print it to Test Report","","Check Product Names Visible and Print it to Test Report","Check Product Names Visible and Print it to Test Report Check the product name: Blouse is visible","Check Product Names Visible and Print it to Test Report Check the product name: Blouse is visible","tests/productNames.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/productNames.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:30 CET 2021","Mon Feb 15 16:17:30 CET 2021","6","","Add the product quantity as five to the cart and check the total price","","Add the product quantity as five to the cart and check the total price","Add the product quantity as five to the cart and check the total price Check the title and url on the Landing Page","Add the product quantity as five to the cart and check the total price Check the title and url on the Landing Page","tests/checkTotalPrice.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/checkTotalPrice.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:18:22 CET 2021","Mon Feb 15 16:18:26 CET 2021","3753","","Add to Cart","","Add to Cart","Add to Cart Check whether the Shopping Cart is enabled and click item to add to Cart","Add to Cart Check whether the Shopping Cart is enabled and click item to add to Cart","tests/addToCart.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/addToCart.test.js'>Открыть в WebStorm</a>"
"failed","Mon Feb 15 16:17:49 CET 2021","Mon Feb 15 16:17:52 CET 2021","2504","","Toggle between the colours of the Product","","Toggle between the colours of the Product","Toggle between the colours of the Product Navigate to Landing Page","Toggle between the colours of the Product Navigate to Landing Page","tests/toggleProductColour.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/toggleProductColour.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:31 CET 2021","Mon Feb 15 16:17:31 CET 2021","3","","Check Product Names Visible and Print it to Test Report","","Check Product Names Visible and Print it to Test Report","Check Product Names Visible and Print it to Test Report Check the product name: Printed Summer Dress is visible","Check Product Names Visible and Print it to Test Report Check the product name: Printed Summer Dress is visible","tests/productNames.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/productNames.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:31 CET 2021","Mon Feb 15 16:17:31 CET 2021","4","","Check Product Names Visible and Print it to Test Report","","Check Product Names Visible and Print it to Test Report","Check Product Names Visible and Print it to Test Report Check the product name: Printed Dress is visible","Check Product Names Visible and Print it to Test Report Check the product name: Printed Dress is visible","tests/productNames.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/productNames.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:49 CET 2021","Mon Feb 15 16:17:49 CET 2021","272","","Toggle between the colours of the Product","","Toggle between the colours of the Product","Toggle between the colours of the Product Check when selecting yellow colour the image is updated","Toggle between the colours of the Product Check when selecting yellow colour the image is updated","tests/toggleProductColour.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/toggleProductColour.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:31 CET 2021","Mon Feb 15 16:17:31 CET 2021","8","","Check Product Names Visible and Print it to Test Report","","Check Product Names Visible and Print it to Test Report","Check Product Names Visible and Print it to Test Report Check the title and url on the Landing Page","Check Product Names Visible and Print it to Test Report Check the title and url on the Landing Page","tests/productNames.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/productNames.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:30 CET 2021","Mon Feb 15 16:17:32 CET 2021","1263","","Add the product quantity as five to the cart and check the total price","","Add the product quantity as five to the cart and check the total price","Add the product quantity as five to the cart and check the total price Click on the 5th Product with 5% discount on the Landing Page","Add the product quantity as five to the cart and check the total price Click on the 5th Product with 5% discount on the Landing Page","tests/checkTotalPrice.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/checkTotalPrice.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:40 CET 2021","Mon Feb 15 16:17:41 CET 2021","496","","Add the product quantity as five to the cart and check the total price","","Add the product quantity as five to the cart and check the total price","Add the product quantity as five to the cart and check the total price Check whether the Total price is accurate from the Cart","Add the product quantity as five to the cart and check the total price Check whether the Total price is accurate from the Cart","tests/checkTotalPrice.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/checkTotalPrice.test.js'>Открыть в WebStorm</a>"
"failed","Mon Feb 15 16:17:42 CET 2021","Mon Feb 15 16:17:47 CET 2021","4968","","Toggle between the colours of the Product","","Toggle between the colours of the Product","Toggle between the colours of the Product Check when selecting black colour the image is updated","Toggle between the colours of the Product Check when selecting black colour the image is updated","tests/toggleProductColour.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/toggleProductColour.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:18:18 CET 2021","Mon Feb 15 16:18:18 CET 2021","7","","Add to Cart","","Add to Cart","Add to Cart Check the title and url on the Landing Page","Add to Cart Check the title and url on the Landing Page","tests/addToCart.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/addToCart.test.js'>Открыть в WebStorm</a>"
"passed","Mon Feb 15 16:17:33 CET 2021","Mon Feb 15 16:17:42 CET 2021","9325","","Toggle between the colours of the Product","","Toggle between the colours of the Product","Toggle between the colours of the Product Click on the 5th Product with 5% discount on the Landing Page","Toggle between the colours of the Product Click on the 5th Product with 5% discount on the Landing Page","tests/toggleProductColour.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/toggleProductColour.test.js'>Открыть в WebStorm</a>"
"failed","Mon Feb 15 16:18:31 CET 2021","Mon Feb 15 16:18:31 CET 2021","456","","Add to Cart","","Add to Cart","Add to Cart Verify the product count from the Cart","Add to Cart Verify the product count from the Cart","tests/addToCart.test.js<br><br><a class='link' href='jetbrains://web-storm/navigate/reference?project=Puppeteer-Jest-PageObjects-Framework&path=tests/addToCart.test.js'>Открыть в WebStorm</a>"
